date,league,home_team,away_team,home_odds,draw_odds,away_odds,home_form,away_form,prediction
2025-08-20,Europa League Tips,Midtjylland,KuPS,1.22,5.25,11.0,DWDWW,LWWWW,Home 2-0
2025-08-20,Europa League Tips,Malmo,Sigma Olomouc,1.65,3.5,5.0,WDLLW,WDWLW,Home 2-1
2025-08-20,Europa League Tips,SK Brann,AEK Larnaca,1.7,3.6,4.33,LDWWL,LDWWL,Home 2-1
2025-08-20,Europa League Tips,Panathinaikos,Samsunspor,1.6,3.7,5.25,LLDDD,WDWWW,Home 2-0
2025-08-20,Europa League Tips,Skendija 79,Ludogorets Razgrad,3.9,3.25,1.9,WLWLW,WWDWL,Away 1-2
2025-08-20,Europa League Tips,Zrinjski Mostar,FC Utrecht,4.1,3.7,1.7,WLDDW,WWWWW,Away 0-2
2025-08-20,Europa League Tips,Lech Poznan,Genk,3.1,3.3,2.15,WWLDD,WLDLW,Draw 1-1
2025-08-20,Europa League Tips,Aberdeen,Steaua Bucharest,2.35,3.25,2.75,DLLLW,LLWLW,Draw 1-1
2025-08-20,Europa League Tips,NK Rijeka,PAOK Salonika,3.1,3.2,2.2,WLDWL,WLWDW,Draw 1-1
2025-08-20,Europa League Tips,Lincoln Red Imps,Braga,15.0,7.0,1.14,WLLDD,DWWWW,Away 0-3
2025-08-20,Europa League Tips,Rosenborg,Mainz,3.75,3.3,1.9,WWLDW,DLDWD,Away 1-2
2025-08-20,Europa League Tips,BK Hacken,CFR Cluj,2.05,3.25,3.3,WLLDW,LWLLL,Draw 1-1
2025-08-20,Europa League Tips,Gyori ETO,Rapid Vienna,2.8,3.4,2.3,WDLDW,WWDWD,Away 0-1
2025-08-20,Europa League Tips,Hamrun Spartans,Rigas FS,3.2,3.3,2.05,WLLLL,LWLWL,Draw 1-1
2025-08-20,Europa League Tips,Wolfsberger,Omonia Nicosia,1.95,3.3,3.8,DLDWL,WWWWW,Home 2-1
2025-08-20,Europa League Tips,Anderlecht,AEK Athens,2.05,3.3,3.25,WWLDW,LWDDW,Home 1-0
2025-08-20,Europa League Tips,KF Drita,Differdange,1.75,3.6,4.0,WLLLL,WWWLW,Draw 1-1
2025-08-20,Europa League Tips,Neman Grodno,Rayo Vallecano,11.0,6.25,1.18,WWDLW,WDWDW,Away 0-2
2025-08-20,Europa League Tips,Olimpija,FC Noah,2.5,3.0,2.75,DLDWW,LLWDD,Home 2-1
2025-08-20,Europa League Tips,Polissya Zhytomyr,Fiorentina,6.5,4.75,1.38,WWWLL,LDLWW,Away 0-2
2025-08-20,Europa League Tips,Sparta Prague,Riga,1.33,4.5,8.5,WWWWW,DWWWL,Home 3-1
2025-08-20,Europa League Tips,Strasbourg,Brondby,1.53,4.1,5.0,DWWLL,WLLWW,Home 2-1
2025-08-20,Europa League Tips,Jagiellonia Bialystok,Dinamo Tirana,1.27,5.5,8.5,WWWWD,LWDLW,Home 2-0
2025-08-20,Europa League Tips,Lausanne Sports,Besiktas,2.9,3.6,2.15,WLWLW,WLLWW,Away 0-2
2025-08-20,Europa League Tips,Shelbourne,Linfield,1.85,3.1,4.33,LWWDL,DWLWW,Draw 1-1
2025-08-20,Europa League Tips,Crystal Palace,Fredrikstad,1.08,9.0,26.0,WWWDD,DWDLL,Home 2-0
2025-08-20,Europa League Tips,Hibernian,Legia Warsaw,2.8,3.6,2.2,WWDLL,WDLWW,Draw 1-1
2025-08-20,Europa League Tips,Rakow Czestochowa,Arda Kardzhali,1.22,5.25,13.0,LWLLW,DWWDW,Home 3-1
2025-08-20,Europa League Tips,Santa Clara,Shamrock,1.4,4.0,8.5,LWWLD,DWLDW,Home 2-0
2025-08-20,Europa League Tips,Internacional,Flamengo,3.4,2.9,2.35,LLDWL,LDWWW,Draw 1-1
2025-08-20,Europa League Tips,LDU de Quito,Botafogo,2.2,3.1,3.6,DWWLL,WLWWW,Draw 1-1
2025-08-20,Europa League Tips,Godoy Cruz,Atletico Mineiro,2.87,3.1,2.6,DDDLL,WWLDW,Draw 1-1
2025-08-20,Europa League Tips,Graficar Beograd,Borac Cacak,1.88,3.35,3.75,DWWDL,LLWLL,Home 2-0
2025-08-20,Europa League Tips,San Martin de Tucuman,Maipu,1.9,3.1,4.5,WDLLD,WLDWL,Home 2-1
2025-08-20,Europa League Tips,Independiente Petrolero,Jorge Wilstermann,1.6,3.6,5.0,LDLWL,LDLLL,Home 1-0
2025-08-20,Europa League Tips,Millonarios,Union Magdalena,1.33,4.75,9.5,LLLDL,LLWDL,Home 1-0
2025-08-20,Europa League Tips,Inter Miami,Tigres,2.25,4.0,2.7,WDWLW,WWLWL,Draw 1-1
2025-08-20,Europa League Tips,Toluca,Orlando City,2.45,3.7,2.62,DWWWD,DWWWW,Draw 1-1
2025-08-20,Europa League Tips,Seattle,Puebla,1.38,5.0,6.25,WWWWL,WLWLL,Home 2-0
2025-08-20,Europa League Tips,LA Galaxy,Pachuca,2.75,3.4,2.45,WDWLL,WDWWL,Draw 1-1
2025-08-20,Europa League Tips,Qatar SC,Al Sailiya,1.76,3.85,4.0,DLDLW,DWWLL,Home 1-0
2025-08-20,Europa League Tips,Neftchi,Mash AL Mubarek,1.28,4.55,9.0,WLWWW,LLLLW,Home 3-0
2025-08-20,Europa League Tips,Bukhara,Kokand 1912,1.8,3.15,4.1,DLLDL,LLLWW,Home 1-0
2025-08-20,Europa League Tips,MC Oran,Ben Aknoun,1.43,4.05,7.5,DWWLW,LWWLL,Home 2-0
2025-08-20,Europa League Tips,JS Saoura,MB Rouissat,1.6,3.5,5.9,WDWWD,,Home 1-0
2025-08-20,Europa League Tips,Al Moqawloon Al Arab,Haras El Hodood,2.14,2.72,4.25,LDLLD,DDLLW,Home 1-0
2025-08-20,Europa League Tips,Future,Zamalek,3.8,2.88,2.18,WWDDW,LWWWD,Away 0-2
2025-08-20,Europa League Tips,Smouha,Masr,2.97,2.68,2.78,LDDDD,DDDWD,Away 0-1
